chain,category,item_name,calories,protein_g,carbs_g,fat_g,serving_size,serving_g,sodium_mg,fiber_g,sugar_g,sat_fat_g,trans_fat_g,cholesterol_mg,is_sample_data,source_note,calories_from_fat,caffeine_mg
Panera Bread,Breads,Bread Portion - Half Sandwich & Breakfast - Country Rustic Sourdough,110,4,22,0,1 Slice,,190,1,0,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",5,
Panera Bread,Breads,Bread Portion - Croissant,260,6,32,12,1 Croissant,,330,2,6,8,0,30,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",100,
Panera Bread,Breads,Bread Portion - Half Sandwich & Breakfast - French Baguette,270,10,54,1,1/4 Baguette,,680,2,1,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",10,
Panera Bread,Breads,Bread Portion - Italian Style Roll,750,25,136,10,1/2 Roll,,1450,4,5,1.5,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",90,
Panera Bread,Breads,Bread Portion - Half Sandwich & Breakfast - Tomato Basil Miche,150,5,30,0.5,1 Slice,,360,1,1,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",5,
Panera Bread,Breads,Classic White Miche,160,6,27,4,2 oz (about 2/3 inch slice / 57g),57,260,1,4,2,0,10,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",35,
Panera Bread,Breads,Country Rustic Sourdough,130,5,28,0,2 oz (about 2/3 inch slice / 57 g),57,240,1,0,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",0,
Panera Bread,Breads,French Baguette,150,5,30,0,2 oz (57g / about 2 3/4 inch slice),57,370,1,1,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",5,
Panera Bread,Breads,Italian Style Roll,150,5,28,2,2 oz (about 2.5 inch slice / 57g),57,300,1,1,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",20,
Panera Bread,Breads,New England Roll,250,9,44,4.5,1 Roll,,440,1,5,1.5,0,10,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",40,
Panera Bread,Breads,Sourdough Bread Bowl,670,27,130,4.5,1 Bread Bowl,,1160,4,2,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",40,
Panera Bread,Breads,Tomato Basil Miche,130,5,27,0,2 oz (57g / about 1/2 inch slice),57,330,1,1,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",5,
Panera Bread,Breads,Whole Grain Lahvash,170,12,25,4,1 Lahvash,,310,9,3,0.5,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",35,
Panera Bread,Breakfast,Asiago Bagel Stack - Sausage & Egg,780,32,58,47,1 Sandwich,,1470,2,5,18,0.5,345,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",420,
Panera Bread,Breakfast,Asiago Everything Bagel Stack Sandwich - Wake-Up BLT,530,27,60,21,1 Sandwich,,1150,3,6,10,0,305,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",190,
Panera Bread,Breakfast,"Bacon, Egg & Cheese on Ciabatta",420,23,40,19,1 Sandwich,,760,2,1,9,0,295,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",170,
Panera Bread,Breakfast,Bacon Double Take on Black Pepper Focaccia,510,28,37,28,1 Sandwich,,1360,1,2,13,0,315,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",250,
Panera Bread,Breakfast,"Bacon, Egg & Cheese on Croissant",480,22,33,29,1 Sandwich,,730,2,7,16,0.5,325,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",260,
Panera Bread,Breakfast,Asiago Bagel Stack - Farmhouse Duo,700,33,58,37,1 Sandwich,,1400,2,5,17,0.5,340,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",330,
Panera Bread,Breakfast,"Chipotle Chicken, Egg & Avo on Ciabatta",550,26,44,30,1 Sandwich,,1020,4,2,10,0,320,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",270,
Panera Bread,Breakfast,Classic Avo Toast,230,5,27,11,1 Toast,,250,5,1,1.5,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",100,
Panera Bread,Breakfast,Egg Whites,30,6,1,0,1 Portion,,100,0,0,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",5,
Panera Bread,Breakfast,Souffle - Four Cheese,470,14,36,30,1 Souffle,,830,1,8,16,1,185,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",270,
Panera Bread,Breakfast,Garden Avo & Egg White on Multigrain Bagel Flat,340,19,36,14,1 Sandwich,,720,5,3,5,0,20,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",130,
Panera Bread,Breakfast,Green Goddess Avo Toast,290,7,31,15,1 Toast,,480,5,3,3,0,10,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",140,
Panera Bread,Breakfast,Ham Croissant Benny,430,21,34,24,1 Sandwich,,970,2,7,14,0.5,325,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",220,
Panera Bread,Breakfast,"Ham, Egg & Cheese on Ciabatta",410,25,40,17,1 Sandwich,,930,2,1,8,0,300,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",150,
Panera Bread,Breakfast,"Sausage, Egg & Cheese on Ciabatta",560,28,40,32,1 Sandwich,,1010,2,1,14,0,320,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",290,
Panera Bread,Breakfast,"Sausage, Egg & Cheese on Croissant",620,26,33,42,1 Sandwich,,990,2,7,21,0.5,345,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",380,
Panera Bread,Breakfast,Scrambled Egg,90,8,1,7,1 egg,,90,0,0,3,0,265,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",60,
Panera Bread,Breakfast,Egg & Cheese on Ciabatta,380,20,40,16,1 Sandwich,,610,2,1,7,0,285,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",140,
Panera Bread,Breakfast,Egg & Cheese on Croissant,440,19,33,25,1 Sandwich,,590,2,6,15,0.5,315,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",230,
Panera Bread,Breakfast,Souffle - Spinach & Bacon,550,19,36,37,1 Souffle,,940,1,8,19,1,195,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",330,
Panera Bread,Breakfast,Steak & Wake on Ciabatta,470,32,42,20,1 Sandwich,,930,2,1,9,0,325,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",180,
Panera Bread,Breakfast,"Steel Cut Oatmeal with Strawberries, Pecans & Cinnamon Crunch Topping",330,8,51,13,1 Bowl,,170,7,16,1.5,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",120,
Panera Bread,Breakfast,Steel Cut Oatmeal with Strawberries & Cinnamon Crunch Topping without pecans,230,7,49,3,1 Bowl,,170,6,15,0.5,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",25,
Panera Bread,Dressing / Sauces / Spreads,Dressing - Asian Sesame Vinaigrette - Half Portion,80,0,5,7,1 dressing cup,,250,0,2,1,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",70,
Panera Bread,Dressing / Sauces / Spreads,Dressing - Asian Sesame Vinaigrette - Whole Portion,170,0,9,15,2 dressing cups,,500,0,5,2.5,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",130,
Panera Bread,Dressing / Sauces / Spreads,Sauce - Apple Cider Vinegar BBQ Sauce - Sandwich Portion,20,0,5,0,1 portion,,110,0,5,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",0,
Panera Bread,Dressing / Sauces / Spreads,Sauce - Balsamic Glaze - Sandwich Portion,20,0,5,0,1 Portion,,10,0,4,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",0,
Panera Bread,Dressing / Sauces / Spreads,Balsamic Vinaigrette Dressing - Half Portion,100,0,8,7,1 dressing cup,,280,0,7,1,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",70,
Panera Bread,Dressing / Sauces / Spreads,Balsamic Vinaigrette Dressing - Whole Portion,200,0,16,15,2 dressing cups,,550,1,14,2,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",130,
Panera Bread,Dressing / Sauces / Spreads,Dressing - Caesar Dressing - Half Portion,170,1,1,17,1 dressing cup,,270,0,1,3,0,30,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",150,
Panera Bread,Dressing / Sauces / Spreads,Dressing - Caesar Dressing - Whole Portion,340,1,3,34,2 dressing cups,,540,0,3,6,0,60,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",300,
Panera Bread,Dressing / Sauces / Spreads,Sauce - Chipotle Aioli - Sandwich Portion,100,0,1,11,1 Portion,,140,0,0,1.5,0,10,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",100,
Panera Bread,Dressing / Sauces / Spreads,Sauce - Creamy Pesto - Sandwich Portion,25,1,1,2,1 portion,,105,0,0,1.5,0,5,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",15,
Panera Bread,Dressing / Sauces / Spreads,Farmhouse Ranch Dressing - Half Portion,170,1,3,17,1 dressing cup,,340,0,2,3,0,15,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",150,
Panera Bread,Dressing / Sauces / Spreads,Dressing - Farmhouse Ranch Dressing - Sandwich Portion,100,1,2,11,1 portion,,210,0,1,2,0,10,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",100,
Panera Bread,Dressing / Sauces / Spreads,Dressing - Farmhouse Ranch Dressing - Whole Portion,330,3,6,34,2 dressing cups,,670,0,4,6,0,30,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",300,
Panera Bread,Dressing / Sauces / Spreads,Sauce - Garlic Aioli - Sandwich Portion,110,0,0,12,1 portion,,95,0,0,2,0,20,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",110,
Panera Bread,Dressing / Sauces / Spreads,Dressing - Greek Dressing - Half Portion,220,0,1,24,1 dressing cup,,280,0,0,3.5,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",220,
Panera Bread,Dressing / Sauces / Spreads,Dressing - Greek Dressing - Sandwich Portion,40,0,0,4,1 Portion,,50,0,0,0.5,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",35,
Panera Bread,Dressing / Sauces / Spreads,Dressing - Greek Dressing - Whole Portion,440,0,1,48,2 dressing cups,,560,0,0,7,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",430,
Panera Bread,Dressing / Sauces / Spreads,Green Goddess Dressing - Half Portion,80,2,4,6,1 dressing cup,,150,0,2,0.5,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",60,
Panera Bread,Dressing / Sauces / Spreads,Dressing - Green Goddess Dressing - Sandwich Portion,30,1,1,2,1 Portion,,55,0,1,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",20,
Panera Bread,Dressing / Sauces / Spreads,Dressing - Green Goddess Dressing - Whole Portion,150,4,7,12,2 dressing cups,,290,1,5,1.5,0,5,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",110,
Panera Bread,Dressing / Sauces / Spreads,Spread - Hummus - Sandwich Portion,60,2,4,4.5,1 portion,,150,1,1,0.5,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",40,
Panera Bread,Dressing / Sauces / Spreads,Sauce - Mayonnaise - Sandwich Portion,130,0,0,14,1 portion,,115,0,0,1.5,0,10,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",130,
Panera Bread,Dressing / Sauces / Spreads,Dressing - Poppyseed - Half,30,0,6,0,1 dressing cup,,115,0,5,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",0,
Panera Bread,Dressing / Sauces / Spreads,Dressing - Poppyseed - Whole,60,0,13,0,2 dressing cups,,230,0,10,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",5,
Panera Bread,Dressing / Sauces / Spreads,Spread - Green Chile Salsa Verde - Sandwich Portion,60,1,2,5,1 Portion,,160,0,1,3,0,10,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",45,
Panera Bread,Dressing / Sauces / Spreads,Sauce- Cheese Hollandaise - Breakfast Sandwich Portion,50,2,2,4.5,1 portion,,210,0,1,3,0,20,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",40,
Panera Bread,Dressing / Sauces / Spreads,Sauce- Creamy Basil Pesto- Sandwich Portion,25,1,1,2,1 portion,,105,0,0,1.5,0,5,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",15,
Panera Bread,Dressing / Sauces / Spreads,Sauce - Signature Sauce -Sandwich Portion,90,0,4,8,1 portion,,95,0,2,1,0,10,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",70,
Panera Bread,Dressing / Sauces / Spreads,Dressing - White Balsamic with Apple Vinaigrette - Half Portion,150,0,10,12,1 dressing cup,,160,0,10,2,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",110,
Panera Bread,Dressing / Sauces / Spreads,Dressing - White Balsamic with Apple Vinaigrette - Whole Portion,300,0,21,24,2 dressing cups,,330,0,19,4,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",220,
Panera Bread,Drinks,Additional Shot of Caramel Syrup,45,0,11,0,1 Shot,,45,0,10,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",0,0
Panera Bread,Drinks,Additional Shot of Chocolate Flavored Sauce,50,0,12,0,1 shot,,25,0,8,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",5,3
Panera Bread,Drinks,Additional Shot of Espresso,5,0,0,0,1 fl oz (30 mL),,0,0,0,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",0,63
Panera Bread,Drinks,Additional Shot of Madagascar Vanilla Syrup,20,0,5,0,1 Shot,,0,0,5,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",0,0
Panera Bread,Drinks,Agave Lemonade - 20 fl oz,210,0,52,0,20 fl oz (591 mL),,15,0,48,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",0,0
Panera Bread,Drinks,Agave Lemonade - 30 fl oz,320,0,78,0,30 fl oz (887 mL),,20,0,72,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",5,0
Panera Bread,Drinks,Agave Lemonade - Serves 4 - Group,670,1,165,1,1 container,,40,0,153,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",5,0
Panera Bread,Drinks,Agave Lemonade - Serves 8 - Group,1350,2,331,1.5,2 containers,,80,0,307,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",15,0
Panera Bread,Drinks,AHA Blueberry Pomegranate Sparkling Water- 12 fl oz can,0,0,0,0,12 fl oz can,,0,0,0,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",0,0
Panera Bread,Drinks,AHA Lime Watermelon Sparkling Water- 12 fl oz can,0,0,0,0,12 fl oz can,,0,0,0,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",0,0
Panera Bread,Drinks,Substitute Almondmilk - 20 fl oz,50,2,2,4.5,10 fl oz (296 mL),,120,1,0,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",40,0
Panera Bread,Drinks,Americano - 16 fl oz,5,0,1,0,16 fl oz (473 mL),,15,0,0,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",0,126
Panera Bread,Drinks,Unsweetened Iced Tea - Serves 4 - Group,20,0,6,0,1 Container,,60,0,0,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",0,384
Panera Bread,Drinks,Unsweetened Iced Tea - Serves 8 - Group,40,0,12,0,2 Containers,,115,0,0,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",0,768
Panera Bread,Drinks,Blueberry Lavender Lemonade - Naturally Flavored - 20 fl oz without ice,250,1,63,0,20 fl oz (591 mL),,45,1,58,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",0,0
Panera Bread,Drinks,Blueberry Lavender Lemonade - Naturally Flavored - 30 fl oz without ice,380,1,95,0,30 fl oz (887 mL),,65,1,87,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",5,0
Panera Bread,Drinks,Blueberry Lavender Lemonade - Naturally Flavored - Serves 4 - Group,810,2,202,1,1 container,,140,2,186,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",5,0
Panera Bread,Drinks,Blueberry Lavender Lemonade - Naturally Flavored - Serves 8 - Group,1620,3,404,1.5,2 containers,,290,4,371,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",15,0
Panera Bread,Drinks,Bottled Passionfruit Papaya Naturally Flavored Iced Green Tea,130,0,31,0,1 Bottle (500 mL),,0,,28,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",0,0
Panera Bread,Drinks,Bottled Water,0,0,0,0,16.9 fl oz (500mL),,10,0,0,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",0,0
Panera Bread,Drinks,British Breakfast Tea - 16 fl oz,0,0,0,0,16 fl oz (473 mL),,0,0,0,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",0,100
Panera Bread,Drinks,Bubly Sparkling Water 12 fl oz Can- Lemon,0,0,0,0,12 fl oz (355 mL),,0,0,0,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",0,0
Panera Bread,Drinks,Bubly Sparkling Water 12 fl oz - Lime,0,0,0,0,12 fl oz (355 mL),,0,0,0,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",0,0
Panera Bread,Drinks,Cafe Blend Dark Roast Coffee - 16 fl oz,5,1,0,0,16 fl oz (473 mL),,10,0,0,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",0,189
Panera Bread,Drinks,Cafe Blend Dark Roast Coffee - 20 fl oz,5,1,0,0,20 fl oz (591 mL),,10,0,0,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",0,237
Panera Bread,Drinks,Cafe blend Dark Roast Coffee - Group,35,4,0,0.5,1 Container,,70,0,0,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",5,1421
Panera Bread,Drinks,Cafe Blend Light Roast Coffee - Group,35,4,0,0.5,1 Container,,70,0,0,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",5,1421
Panera Bread,Drinks,Cafe Blend Light Roast Coffee - 16 fl oz,5,1,0,0,16 fl oz (473 mL),,10,0,0,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",0,189
Panera Bread,Drinks,Cafe Blend Light Roast Coffee - 20 fl oz,5,1,0,0,20 fl oz (591 mL),,10,0,0,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",0,237
